City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,New Norfolk,AU,2022-07-18 23:16:57,-42.7826,147.0587,43.92,87,78,2.55
67,Mandera,KE,2022-07-18 23:16:57,3.9366,41.867,76.3,62,85,18.61
68,Piedras Negras,MX,2022-07-18 23:16:58,28.7,-100.5167,104.58,36,0,10.45
69,Ilhabela,BR,2022-07-18 23:16:58,-23.7781,-45.3581,68.81,93,99,4.34
70,Aleksandrov Gay,RU,2022-07-18 23:16:58,50.147,48.5704,71.56,66,2,16.4
71,Chuy,UY,2022-07-18 23:16:59,-33.6971,-53.4616,47.75,82,2,3.0
72,Puerto Ayora,EC,2022-07-18 23:16:59,-0.7393,-90.3518,69.55,94,92,3.0
73,Aklavik,CA,2022-07-18 23:13:01,68.2191,-135.0107,67.6,56,100,11.86
74,Haines Junction,CA,2022-07-18 23:17:00,60.7522,-137.5108,66.15,42,88,14.97
75,Aksu,CN,2022-07-18 23:17:00,41.1231,80.2644,77.68,28,13,4.27
76,Raton,US,2022-07-18 23:17:00,36.9034,-104.4391,91.74,54,0,12.66
77,Hualmay,PE,2022-07-18 23:14:19,-11.0964,-77.6139,63.5,79,65,11.12
78,Rikitea,PF,2022-07-18 23:17:01,-23.1203,-134.9692,74.66,75,14,11.39
79,Bandarbeyla,SO,2022-07-18 23:17:01,9.4942,50.8122,76.03,77,83,33.71
80,Rawson,AR,2022-07-18 23:17:02,-43.3002,-65.1023,44.44,49,55,15.32
81,Lompoc,US,2022-07-18 23:17:02,34.6391,-120.4579,84.85,58,0,14.97
82,Tabou,CI,2022-07-18 23:17:02,4.423,-7.3528,75.16,76,97,10.07
83,Yellowknife,CA,2022-07-18 23:17:03,62.456,-114.3525,73.92,49,75,4.61
84,Cape Town,ZA,2022-07-18 23:17:03,-33.9258,18.4232,55.9,81,0,6.91
85,Thompson,CA,2022-07-18 23:15:31,55.7435,-97.8558,75.36,53,40,5.75
86,Kavaratti,IN,2022-07-18 23:12:25,10.5669,72.642,80.2,81,100,21.83
87,Provideniya,RU,2022-07-18 23:17:04,64.3833,-173.3,44.71,81,75,15.99
88,Barrow,US,2022-07-18 23:18:04,71.2906,-156.7887,42.82,81,100,19.57
89,Hay River,CA,2022-07-18 23:15:25,60.8156,-115.7999,76.98,38,75,5.75
90,Airai,TL,2022-07-18 23:18:05,-8.9266,125.4092,54.25,53,93,2.68
91,Porto Belo,BR,2022-07-18 23:18:05,-27.1578,-48.5531,63.25,83,100,5.86
92,Leningradskiy,RU,2022-07-18 23:18:05,69.3833,178.4167,34.68,90,100,19.91
93,Arman,RU,2022-07-18 23:18:06,59.7,150.1667,61.02,80,99,5.55
94,Leshukonskoye,RU,2022-07-18 23:18:06,64.8989,45.7622,58.28,88,100,4.74
95,Xining,CN,2022-07-18 23:18:06,36.6167,101.7667,49.64,88,41,3.78
96,Ulaanbaatar,MN,2022-07-18 23:18:07,47.9077,106.8832,71.73,28,20,17.9
97,Albany,US,2022-07-18 23:18:07,42.6001,-73.9662,77.41,87,100,4.0
98,Deputatskiy,RU,2022-07-18 23:13:17,69.3,139.9,41.61,87,100,3.69
99,Tuktoyaktuk,CA,2022-07-18 23:18:07,69.4541,-133.0374,66.2,82,100,10.36
100,Jucas,BR,2022-07-18 23:18:08,-6.5253,-39.5275,74.61,43,6,3.38
101,Koumac,NC,2022-07-18 23:18:08,-20.5667,164.2833,76.95,80,69,6.24
102,Port Lincoln,AU,2022-07-18 23:13:32,-34.7333,135.8667,53.29,62,100,11.27
103,Portland,US,2022-07-18 23:14:11,45.5234,-122.6762,82.15,51,0,14.97
104,Vilhena,BR,2022-07-18 23:18:09,-12.7406,-60.1458,77.22,50,0,2.3
105,Saint-Joseph,RE,2022-07-18 23:18:09,-21.3667,55.6167,66.58,79,35,18.43
106,Aykhal,RU,2022-07-18 23:18:10,66.0,111.5,48.4,84,100,5.64
107,Verkhnyaya Maksakovka,RU,2022-07-18 23:18:10,61.635,50.9674,66.22,68,40,7.0
108,Castro,BR,2022-07-18 23:18:10,-24.7911,-50.0119,57.25,99,100,3.8
109,Georgetown,MY,2022-07-18 23:15:11,5.4112,100.3354,82.33,93,40,2.3
110,Tolaga Bay,NZ,2022-07-18 23:18:11,-38.3667,178.3,59.99,68,100,11.92
111,Iqaluit,CA,2022-07-18 23:18:11,63.7506,-68.5145,42.53,86,75,10.36
112,Suntar,RU,2022-07-18 23:18:12,62.1444,117.6319,60.69,90,100,5.77
113,Lebu,CL,2022-07-18 23:18:12,-37.6167,-73.65,45.09,76,91,3.65
114,Dikson,RU,2022-07-18 23:18:12,73.5069,80.5464,43.38,82,98,13.6
115,Karatuzskoye,RU,2022-07-18 23:18:13,53.6072,92.8667,50.29,90,62,3.96
116,Takahagi,JP,2022-07-18 23:18:13,36.7167,140.7167,82.09,84,100,2.66
117,Avarua,CK,2022-07-18 23:18:13,-21.2078,-159.775,75.25,73,75,8.05
118,Clyde River,CA,2022-07-18 23:15:36,70.4692,-68.5914,39.43,87,75,8.05
119,Cockburn Town,TC,2022-07-18 23:14:07,21.4612,-71.1419,81.73,81,0,17.81
120,Samarai,PG,2022-07-18 23:18:14,-10.6167,150.6667,80.1,82,21,9.08
121,Kiama,AU,2022-07-18 23:18:14,-34.6833,150.8667,53.01,69,78,5.01
122,Prince Rupert,CA,2022-07-18 23:18:15,54.3161,-130.3201,57.29,94,100,5.75
123,Songjianghe,CN,2022-07-18 23:18:15,42.1859,127.479,65.1,92,13,3.2
124,Chitral,PK,2022-07-18 23:18:16,35.8462,71.7858,76.89,77,2,2.55
125,Brigantine,US,2022-07-18 23:18:16,39.4101,-74.3646,81.19,84,0,10.36
126,Ahipara,NZ,2022-07-18 23:18:16,-35.1667,173.1667,62.1,81,87,12.37
127,Verkhnyaya Inta,RU,2022-07-18 23:18:17,65.9811,60.3094,58.89,75,12,3.36
128,Bethel,US,2022-07-18 23:18:17,41.3712,-73.414,76.03,92,100,11.5
129,Saint-Philippe,RE,2022-07-18 23:18:17,-21.3585,55.7679,67.59,79,62,18.57
130,Belmonte,BR,2022-07-18 23:18:18,-15.8631,-38.8828,71.29,80,20,7.09
131,Kemin,KG,2022-07-18 23:18:18,42.7846,75.6892,64.51,53,0,2.68
132,Stevens Point,US,2022-07-18 23:14:47,44.5236,-89.5746,90.39,45,40,8.05
133,Itabera,BR,2022-07-18 23:18:18,-23.8619,-49.1372,60.39,88,100,8.81
134,Burnie,AU,2022-07-18 23:17:52,-41.0667,145.9167,41.94,61,3,4.54
135,Hilo,US,2022-07-18 23:19:19,19.7297,-155.09,88.29,73,75,9.22
136,Pevek,RU,2022-07-18 23:19:19,69.7008,170.3133,32.99,83,100,4.38
137,Hasaki,JP,2022-07-18 23:19:17,35.7333,140.8333,82.8,87,100,14.54
138,Waldkirch,DE,2022-07-18 23:19:20,48.0959,7.9637,74.26,59,3,5.99
139,Klaksvik,FO,2022-07-18 23:19:20,62.2266,-6.589,50.92,88,100,12.66
140,Green River,US,2022-07-18 23:19:21,41.5286,-109.4662,90.0,25,43,8.01
141,Hithadhoo,MV,2022-07-18 23:19:21,-0.6,73.0833,81.39,76,100,12.01
142,Buttelborn,DE,2022-07-18 23:19:21,49.9033,8.5233,75.07,46,0,3.44
143,Lloydminster,CA,2022-07-18 23:17:39,53.2835,-110.0016,77.22,61,75,4.61
144,Bredasdorp,ZA,2022-07-18 23:19:22,-34.5322,20.0403,53.92,86,100,2.08
145,Torbay,CA,2022-07-18 23:18:02,47.6666,-52.7314,66.97,77,100,14.97
146,Bay Roberts,CA,2022-07-18 23:19:22,47.5999,-53.2648,67.75,88,52,8.99
147,Mangai,CD,2022-07-18 23:19:23,-4.05,19.5333,72.39,82,98,3.74
148,Mackay,AU,2022-07-18 23:15:31,-21.15,149.2,68.68,77,0,9.66
149,Kaitangata,NZ,2022-07-18 23:19:23,-46.2817,169.8464,46.4,91,100,7.96
150,San Juan De Los Lagos,MX,2022-07-18 23:19:24,21.25,-102.3,71.22,55,29,17.54
151,Challans,FR,2022-07-18 23:19:24,46.8436,-1.8749,88.72,24,1,15.52
152,Jamestown,US,2022-07-18 23:19:24,42.097,-79.2353,74.95,82,100,11.99
153,Soufriere,LC,2022-07-18 23:19:25,13.8562,-61.0566,82.06,74,75,19.57
154,Bathsheba,BB,2022-07-18 23:19:25,13.2167,-59.5167,83.01,86,40,19.57
155,Ardahan,TR,2022-07-18 23:19:25,41.1087,42.7022,57.67,92,95,4.03
156,Boende,CD,2022-07-18 23:19:26,-0.2167,20.8667,70.38,98,100,4.14
157,Jhinjhak,IN,2022-07-18 23:19:26,26.5667,79.7333,92.46,47,82,6.24
158,Andenes,NO,2022-07-18 23:19:26,69.3143,16.1194,51.78,93,100,4.61
159,Presidencia Roque Saenz Pena,AR,2022-07-18 23:19:27,-26.7852,-60.4388,55.02,61,100,3.8
160,Chester,US,2022-07-18 23:17:18,40.1254,-75.8749,80.22,95,40,5.75
161,Richards Bay,ZA,2022-07-18 23:19:27,-28.783,32.0377,66.4,81,0,11.63
162,Padang,ID,2022-07-18 23:19:28,-0.9492,100.3543,71.65,74,13,3.87
163,Plouzane,FR,2022-07-18 23:17:43,48.3833,-4.6167,80.92,54,0,6.91
164,Kodiak,US,2022-07-18 23:17:46,57.79,-152.4072,56.71,72,20,5.75
165,East London,ZA,2022-07-18 23:17:40,-33.0153,27.9116,69.12,35,13,9.78
166,Tombouctou,ML,2022-07-18 23:19:29,20.0,-3.0,97.43,22,100,8.41
167,Laguna,US,2022-07-18 23:19:29,38.421,-121.4238,105.15,14,0,11.5
168,Havoysund,NO,2022-07-18 23:19:29,70.9963,24.6622,52.03,97,96,8.28
169,Namatanai,PG,2022-07-18 23:19:30,-3.6667,152.4333,83.59,69,96,8.23
170,Fairbanks,US,2022-07-18 23:19:30,64.8378,-147.7164,62.6,68,100,16.11
171,Yar-Sale,RU,2022-07-18 23:19:30,66.8333,70.8333,57.56,58,78,7.63
172,Madera,US,2022-07-18 23:16:51,37.1666,-119.8343,105.57,12,17,8.41
173,Soe,ID,2022-07-18 23:19:31,-9.8607,124.284,58.93,81,84,3.78
174,Port Elizabeth,ZA,2022-07-18 23:19:31,-33.918,25.5701,61.32,93,20,4.61
175,Bachaquero,VE,2022-07-18 23:19:32,9.9694,-71.1494,82.9,78,44,7.25
176,Berlevag,NO,2022-07-18 23:19:09,70.8578,29.0864,59.0,77,40,8.05
177,Kayerkan,RU,2022-07-18 23:19:32,69.3497,87.7602,60.53,58,92,1.25
178,Praia Da Vitoria,PT,2022-07-18 23:19:32,38.7333,-27.0667,72.75,88,75,8.43
179,Manzil Salim,TN,2022-07-18 23:19:33,35.8567,8.4765,79.12,32,0,8.97
180,Ocampo,MX,2022-07-18 23:15:33,21.65,-101.5,62.37,62,78,12.08
181,Akdepe,TM,2022-07-18 23:19:33,42.0551,59.3788,80.69,26,0,9.64
182,Borzya,RU,2022-07-18 23:20:34,50.3833,116.5167,68.2,51,16,1.5
183,Shaunavon,CA,2022-07-18 23:20:34,49.6501,-108.4181,65.98,70,41,22.46
184,Coihaique,CL,2022-07-18 23:20:34,-45.5752,-72.0662,39.15,75,75,3.44
185,Petropavlovsk-Kamchatskiy,RU,2022-07-18 23:20:35,53.0452,158.6483,57.79,100,100,4.47
186,Berbera,SO,2022-07-18 23:20:35,10.4396,45.0143,90.82,36,97,30.36
187,Katobu,ID,2022-07-18 23:20:36,-4.9408,122.5276,74.95,89,85,3.33
188,Mahebourg,MU,2022-07-18 23:20:36,-20.4081,57.7,68.29,73,75,20.71
189,Issoire,FR,2022-07-18 23:20:36,45.55,3.25,70.86,43,0,5.23
190,Hashtrud,IR,2022-07-18 23:20:37,37.4779,47.0508,69.31,31,0,4.21
191,Carballo,ES,2022-07-18 23:20:37,43.213,-8.691,67.01,82,22,7.27
192,Severo-Kurilsk,RU,2022-07-18 23:19:55,50.6789,156.125,56.3,88,94,6.13
193,Mokhsogollokh,RU,2022-07-18 23:20:37,61.4681,128.9203,75.25,48,64,5.48
194,Murwillumbah,AU,2022-07-18 23:20:38,-28.3167,153.4,63.99,63,4,11.5
195,Kapoeta,SS,2022-07-18 23:20:38,4.7717,33.5903,72.93,80,96,4.61
196,Siderno,IT,2022-07-18 23:20:39,38.2779,16.302,80.33,59,0,4.07
197,Chokurdakh,RU,2022-07-18 23:20:39,70.6333,147.9167,43.25,62,83,13.51
198,Hami,CN,2022-07-18 23:20:39,42.8,93.45,77.83,32,92,6.62
199,Magdagachi,RU,2022-07-18 23:20:40,53.45,125.8,70.34,76,100,4.72
200,Powell River,CA,2022-07-18 23:17:40,49.8496,-124.5361,70.03,68,100,5.75
201,Kilindoni,TZ,2022-07-18 23:20:40,-7.9139,39.6668,76.06,75,18,16.44
202,Cabo San Lucas,MX,2022-07-18 23:16:19,22.8909,-109.9124,93.61,65,20,11.5
203,Novikovo,RU,2022-07-18 23:20:41,51.1537,37.8879,54.41,93,1,7.61
204,Henties Bay,NA,2022-07-18 23:20:41,-22.116,14.2845,57.81,85,1,3.69
205,Sakakah,SA,2022-07-18 23:20:41,29.9697,40.2064,92.77,19,2,6.49
206,Eyl,SO,2022-07-18 23:20:42,7.9803,49.8164,77.2,65,98,26.98
207,Sinegorskiy,RU,2022-07-18 23:20:42,48.0139,40.8447,59.92,58,0,7.92
208,Verkhnetulomskiy,RU,2022-07-18 23:20:42,68.6073,31.7962,51.93,94,97,3.74
209,Minas,UY,2022-07-18 23:17:27,-34.3759,-55.2377,45.48,86,43,4.43
210,Oktyabrskiy,RU,2022-07-18 23:20:43,54.4815,53.471,66.67,83,99,4.0
211,Tonneins,FR,2022-07-18 23:20:43,44.3921,0.3124,86.67,37,0,12.06
212,Khatanga,RU,2022-07-18 23:20:44,71.9667,102.5,53.24,74,100,4.05
213,Bandarban,BD,2022-07-18 23:20:44,22.1965,92.2262,75.92,97,99,2.82
214,Evans,US,2022-07-18 23:19:53,33.5337,-82.1307,93.24,59,20,12.66
215,Faanui,PF,2022-07-18 23:20:44,-16.4833,-151.75,76.55,68,63,6.38
216,Vertientes,CU,2022-07-18 23:20:45,21.2594,-78.1464,86.61,70,0,14.32
217,Hatillo,PR,2022-07-18 23:20:45,18.4863,-66.8254,84.07,83,14,5.99
218,Hambantota,LK,2022-07-18 23:20:45,6.1241,81.1185,78.31,83,48,13.09
219,Marshall,US,2022-07-18 23:15:51,34.3834,-86.3333,82.71,76,0,0.0
220,Oktyabrskoye,RU,2022-07-18 23:20:46,43.0645,44.7417,64.54,88,44,6.71
221,Codrington,AU,2022-07-18 23:20:46,-38.2667,141.9667,47.3,70,100,7.23
222,Waipawa,NZ,2022-07-18 23:20:46,-41.4122,175.5153,56.46,65,100,9.82
223,Necochea,AR,2022-07-18 23:20:47,-38.5473,-58.7368,42.91,75,25,8.57
224,Hamilton,US,2022-07-18 23:15:53,39.1834,-84.5333,84.92,68,40,5.75
225,Narsaq,GL,2022-07-18 23:20:47,60.9167,-46.05,57.42,71,100,2.28
226,Barra Patuca,HN,2022-07-18 23:20:48,15.8,-84.2833,80.69,87,100,13.47
227,Ukiah,US,2022-07-18 23:20:48,39.1502,-123.2078,101.16,22,0,8.01
228,Knysna,ZA,2022-07-18 23:20:48,-34.0363,23.0471,60.08,88,97,3.91
229,Neman,RU,2022-07-18 23:20:49,55.0311,22.0264,58.68,98,100,6.58
230,Carauari,BR,2022-07-18 23:21:49,-4.8828,-66.8958,81.01,73,100,2.35
231,Shache,CN,2022-07-18 23:21:50,38.4167,77.2406,78.71,16,0,7.58
232,Odweyne,SO,2022-07-18 23:21:50,9.4092,45.064,72.79,51,100,21.23
233,Lorengau,PG,2022-07-18 23:21:50,-2.0226,147.2712,82.65,72,96,5.26
234,Innisfail,AU,2022-07-18 23:17:39,-17.5333,146.0333,67.82,76,11,7.72
235,Montrose,US,2022-07-18 23:21:51,38.4166,-108.2673,81.97,20,71,12.97
236,Flinders,AU,2022-07-18 23:21:51,-34.5833,150.8552,51.39,68,57,11.99
237,Acari,PE,2022-07-18 23:21:52,-15.4311,-74.6158,66.42,72,68,5.41
238,Harbour Breton,CA,2022-07-18 23:21:52,47.4833,-55.7983,59.74,96,96,8.68
239,Tautira,PF,2022-07-18 23:21:52,-17.7333,-149.15,75.45,74,13,6.76
240,Druzhba,UA,2022-07-18 23:21:53,52.0428,33.9453,50.94,93,16,5.91
241,Santa Maria,BR,2022-07-18 23:21:17,-29.6842,-53.8069,47.5,100,0,2.3
242,Sault Sainte Marie,CA,2022-07-18 23:18:20,46.5168,-84.3333,82.96,57,0,9.22
